onet_soc_code,total_task_importance,ai_task_importance,api_usage_count,A_MEAN,A_MEDIAN,TOT_EMP,onet_occupation_title,job_zone,ai_exposure,usage_per_worker,wage_bill,wage_at_risk,emp_at_risk
33-1011.00,98.93,4.71,73.0,82260.0,76310.0,53390.0,First-Line Supervisors of Correctional Officers,3.0,0.04760942080258768,0.0013672972466754075,4391861400.0,209093977.49924186,2541.8669766501566
33-1021.00,102.99,3.85,36.0,97030.0,92430.0,93680.0,First-Line Supervisors of Firefighting and Prevention Workers,3.0,0.037382270123312945,0.0003842869342442357,9089770400.0,339796252.45169437,3501.9710651519567
33-3011.00,63.51,4.7,23.0,62180.0,57050.0,16910.0,Bailiffs,3.0,0.07400409384348922,0.0013601419278533413,1051463800.0,77812625.72823177,1251.4092268934025
33-3012.00,113.04,4.25,3292.0,62760.0,57970.0,365380.0,Correctional Officers and Jailers,2.0,0.03759731068648266,0.009009798018501287,22931248800.0,862153285.5626326,13737.305378627034
33-3021.00,130.8,4.4,15.0,98770.0,93580.0,110790.0,Detectives and Criminal Investigators,3.0,0.03363914373088685,0.00013539128080151638,10942728300.0,368104010.0917431,3726.880733944954
33-3021.06,81.35,20.86,354.0,98770.0,93580.0,110790.0,Intelligence Analysts,4.0,0.25642286416717885,0.0031952342269157864,10942728300.0,2805965732.489244,28409.089121081746
33-3051.00,123.59,12.309999999999999,355.0,79320.0,76290.0,666990.0,Police and Sheriff's Patrol Officers,3.0,0.09960352779351078,0.0005322418626965921,52905646800.0,5269589061.477465,66434.55700299375
33-3051.04,46.58,4.75,47.0,79320.0,76290.0,666990.0,Customs and Border Protection Officers,3.0,0.10197509660798626,7.046582407532347e-05,52905646800.0,5395058443.537999,68016.36968656075
33-9011.00,70.09,4.5,50.0,49240.0,45830.0,11790.0,Animal Control Workers,2.0,0.06420316735625624,0.004240882103477523,580539600.0,37272481.09573405,756.9553431302611
33-9021.00,58.62,4.33,29.0,61680.0,52370.0,38700.0,Private Detectives and Investigators,3.0,0.07386557488911635,0.0007493540051679587,2387016000.0,176318309.10951898,2858.597748208803
33-9032.00,61.69,13.06,604.0,42890.0,38370.0,1241770.0,Security Guards,2.0,0.21170367968876644,0.0004864024738880791,53259515300.0,11275235367.450155,262887.2783271195
33-9091.00,51.43,4.25,18.0,42910.0,37700.0,90180.0,Crossing Guards and Flaggers,2.0,0.08263659342796033,0.0001996007984031936,3869623800.0,319772528.67975885,7452.167995333462
33-9093.00,112.0,7.9799999999999995,45.0,61840.0,63360.0,46340.0,Transportation Security Screeners,2.0,0.07125,0.0009710832973672853,2865665600.0,204178673.99999997,3301.725
33-9099.02,90.51,22.450000000000003,185.0,48210.0,41600.0,83110.0,Retail Loss Prevention Specialists,2.0,0.24803889073030605,0.0022259655877752377,4006733100.0,993825633.5764004,20614.512208595737
